Country;Region;Sub Region;Road Maintenance;Road Network;Net Energy Imports;Access to Electricity;Quality of Electricity Supply;Employment to Population Ratio;Labor Productivity per Person Employed;HDI ;Population Growth ;Civil Liberty and Political Freedom;Youth Unemployment;Media Freedom;Corruption Perceptions Index ;Proximity to conflict ;Unweighted Rank of Political Variables; Journal Articles 2013; Journal Articles per capita;FDI inflows ;Domestic RnD Expenditure ;Payments for IP use;Charges for IP use;Net Charges for IP use;Hi Tech Exports ;GDP Growth;GDP Growth per capita;Population;GDP
Micronesia *;East Asia and Pacific;Pacific;;388.00;;25.60;;;;;0.40;1.00;23.00;64.00;33.00;;0.00;5.90;;10.96;;;;;;-3.40;-3.71;;
Moldovia *;Europe and Central Asia;Eastern Europe;72023589.00;9352.00;90.05;89.76;3.50;39.90;;0.62;-0.10;3.00;8.50;64.00;33.00;;0.00;226.60;0.00;;0.37;25080000.00;7040000.00;-14.00;4.00;4.80;4.86;;
Monaco *;Europe and Central Asia;Western Europe;;77.00;;;;;;;0.30;1.50;6.90;21.00;;;0.00;34.40;0.00;57.66;0.04;;;;;;;;
Mongolia *;East Asia and Pacific;South Asia;;49249.00;-212.82;20.20;3.00;60.29;;0.63;1.70;1.50;9.30;37.00;39.00;;0.00;163.90;0.00;11.00;0.23;12999781.95;2429561.08;-14.00;4.00;7.89;6.01;;
Montenegro *;Europe and Central Asia;Balkans;;7762.00;25.57;21.76;;40.40;;0.73;0.10;2.50;39.50;41.00;44.00;;1.00;192.30;0.00;68.39;0.36;5295232.60;1135289.49;-2.00;;1.78;1.68;;
Morocco;Africa (Middle East and North Africa);North Africa;;58395.00;90.09;100.00;5.00;45.40;21155.00;0.44;1.30;4.50;20.20;66.00;36.00;;1.00;2536.40;0.00;6.20;0.71;111106151.93;1517744.13;-93.00;3.50;2.55;1.12;;
Mozambique *;Africa (Sub Saharan Africa);Southern Africa;;30331.00;-54.20;9.80;3.40;65.09;3853.00;0.27;2.80;3.50;40.70;46.00;31.00;;2.00;67.80;0.00;9.62;0.42;19574342.62;;-20.00;11.60;7.44;4.49;;
Myanmar;East Asia and Pacific;South Asia;;;-39.94;100.00;;76.00;8550.00;;0.90;6.00;9.50;73.00;22.00;;2.00;38.20;0.00;0.78;;295324275.71;24978015.37;-250.00;;7.99;7.08;;
Namibia *;Africa (Sub Saharan Africa);Southern Africa;;44138.00;74.64;100.00;5.00;48.40;;0.35;2.30;2.00;38.70;33.00;53.00;;1.00;79.30;0.00;32.61;0.14;8609185.13;142706.15;-10.00;2.70;6.46;3.97;;
Nepal;South Asia;South Asia;;10844.00;16.25;59.33;2.20;81.00;;0.40;1.20;3.50;4.00;54.00;27.00;;0.00;442.10;0.00;5.65;0.30;;;;0.60;5.99;4.71;;
Netherlands *;Europe and Central Asia;Western Europe;;138641.00;19.37;14.40;6.70;59.70;92946.00;0.86;0.40;1.00;11.10;11.00;87.00;;0.00;30412.40;0.00;;1.97;47302633669.65;38130526519.86;-8015.00;19.90;1.42;1.06;;
New Caledonia;East Asia and Pacific;South Asia;;5622.00;;55.60;;;;;1.80;3.00;14.60;28.00;50.00;;0.00;;;27.56;;4122699.48;537247.43;-3.00;5.00;;;;
New Zealand *;East Asia and Pacific;Oceania;968814184.00;94902.00;17.04;77.90;5.20;63.90;71096.00;;1.90;1.00;14.60;20.00;88.00;;0.00;7244.30;0.00;24.73;1.17;958985942.70;328667204.81;-543.00;9.60;3.58;2.02;;
Nicaragua;Latin America and Caribbean;Central America;;23897.00;39.72;100.00;3.00;60.29;0.48;0.48;1.10;3.50;7.60;54.00;27.00;;0.00;28.20;0.00;5.42;;1200000.00;;;0.50;4.57;3.38;;
Niger *;Africa (Sub Saharan Africa);West Africa;;18949.00;-7.70;100.00;;61.40;2931.00;0.25;4.00;3.50;7.10;53.00;34.00;1.00;2.00;35.70;0.00;6.28;;;;;14.20;7.05;2.82;;
Nigeria *;Africa (Sub Saharan Africa);West Africa;;193200.00;-91.38;76.30;1.80;52.00;18609.00;0.32;2.60;4.50;13.60;51.00;26.00;1.00;2.00;3653.70;0.00;;0.22;250794180.27;;;2.10;6.31;3.52;;
Norway *;Europe and Central Asia;Scandinavia;1997629991.00;93870.00;-543.71;99.91;6.60;62.59;127090.00;0.89;1.10;1.00;8.40;9.00;87.00;;0.00;9853.60;0.00;13.49;1.71;654166979.24;477672933.48;-60.00;20.50;1.92;0.78;;
Oman;Middle East and North Africa;Middle East;;60230.00;-210.81;93.60;;61.50;;;5.80;5.50;18.80;71.00;45.00;1.00;2.00;657.60;0.00;60.59;0.17;;;;4.10;2.54;-5.42;;
Pakistan;Middle East and North Africa;Middle East;;263942.00;24.27;87.50;3.50;51.70;16635.00;0.38;2.10;4.50;8.60;64.00;30.00;1.00;1.00;7771.50;0.00;20.22;0.29;160000000.00;12000000.00;-165.00;1.60;4.67;2.50;;
Palau *;East Asia and Pacific;Pacific;;;;59.33;;;;;0.90;1.00;18.90;15.00;50.00;;0.00;3.50;0.00;-0.92;;;;;40.70;4.26;3.38;;
Panama *;Latin America and Caribbean;Central America;;15137.00;75.42;18.11;5.00;62.59;;0.60;1.60;2.00;11.00;46.00;39.00;;0.00;157.50;0.00;7.05;0.07;98700000.00;8300000.00;-51.00;0.00;6.05;4.36;;
Papua New Guinea *;East Asia and Pacific;Pacific;;9349.00;;100.00;;70.40;;;2.10;3.50;5.40;29.00;25.00;;2.00;43.60;0.00;15.14;;;;;3.50;8.53;6.28;;
Paraguay *;Latin America and Caribbean;South America;;32059.00;-50.81;34.91;3.10;67.19;;0.53;1.30;3.00;9.30;58.00;27.00;;0.00;61.00;;11.51;0.09;18050000.00;;;5.70;4.72;3.33;;
Peru *;Latin America and Caribbean;South America;;140672.00;-0.20;90.88;4.80;73.09;;0.56;1.30;2.50;9.20;46.00;36.00;;0.00;647.80;0.00;11.71;;274512180.60;11040000.00;-270.00;4.70;2.35;1.01;;
Philippines *;East Asia and Pacific;Pacific;;216387.00;45.09;29.56;4.00;60.59;18326.00;0.55;1.60;3.00;16.40;44.00;35.00;;0.00;915.80;0.00;22.23;0.14;547026079.20;9759026.35;-602.00;53.10;6.22;4.54;;
Poland *;Europe and Central Asia;Central Europe;;412035.00;27.41;100.00;4.40;51.29;;0.76;0.00;1.00;24.00;28.00;62.00;;1.00;28753.30;0.00;1.45;0.94;2945000000.00;342000000.00;-2016.00;8.80;3.28;3.36;;
Portugal *;Europe and Central Asia;Southern Europe;;82900.00;73.34;98.20;5.80;51.70;62922.00;0.74;-0.50;1.00;36.80;18.00;63.00;;1.00;13555.60;0.00;6.66;1.29;680328168.26;87374463.35;-609.00;4.60;0.91;1.45;;
Qatar;Middle East and North Africa;Middle East;;9830.00;-457.48;97.70;5.40;86.40;;;2.90;5.50;1.30;69.00;71.00;;1.00;770.20;0.00;6.72;0.47;;;;3.40;3.98;0.59;;
Romania *;Europe and Central Asia;Eastern Europe;;84185.00;18.56;100.00;3.80;52.79;;0.71;-0.40;2.00;25.10;38.00;46.00;;1.00;11163.60;0.00;23.03;0.38;880131901.62;138689484.87;-720.00;7.50;3.08;3.46;;
Russian Federation;Europe and Central Asia;Eastern Europe;;1283387.00;-83.37;100.00;3.80;60.50;;0.71;0.20;6.00;12.90;83.00;29.00;;1.00;35542.30;0.00;48.62;1.19;8021370000.00;665790000.00;-4908.00;13.80;0.71;-1.07;;
Rwanda;Africa (Sub Saharan Africa);East Africa;;4700.00;;18.00;;85.19;;0.33;2.30;6.00;0.70;79.00;54.00;1.00;3.00;91.10;0.00;;;;;;13.00;7.01;4.52;;
Samoa *;Middle East and North Africa;Middle East;;2337.00;;77.96;;;;;0.70;2.00;16.10;29.00;50.00;;0.00;4.00;0.00;;;1855628.03;16847.11;-2.00;0.40;1.20;0.43;;
San Marino *;Europe and Central Asia;Southern Europe;;292.00;;97.70;;;;;0.60;1.00;14.30;16.00;50.00;;0.00;6.80;0.00;4.21;;;;;;;;;
Sao Tome and Principe *;Africa (Sub Saharan Africa);West Africa;;320.00;;32.56;;;;0.42;2.10;2.00;13.50;45.00;42.00;;1.00;1.20;0.00;10.27;;31975.40;;;42.30;6.21;3.95;;
Saudi Arabia;Middle East and North Africa;Middle East;;221372.00;-219.74;56.50;;52.09;;;2.10;7.00;29.50;86.00;52.00;1.00;4.00;7635.60;0.00;27.07;0.07;;;;0.80;3.64;1.34;;
Senegal *;Africa (Sub Saharan Africa);West Africa;;15000.00;51.17;100.00;;69.00;6991.00;0.31;3.10;2.00;13.00;49.00;44.00;1.00;2.00;295.80;0.00;45.25;0.54;5895857.28;3865174.36;-2.00;3.60;4.31;1.10;;
Serbia *;Europe and Central Asia;Balkans;142981705.00;44248.00;23.69;22.81;3.60;40.90;;0.69;-0.50;2.00;49.50;45.00;40.00;;1.00;5169.10;0.00;63.06;0.78;224584393.91;41044240.11;-135.00;;-1.83;-1.37;;
Seychelles *;Africa (Sub Saharan Africa);East Africa;;526.00;;14.20;;;;;1.60;3.00;20.30;49.00;55.00;;0.00;15.40;0.00;84.22;0.30;2753625.13;1240619.55;-1.00;7.20;3.32;1.62;;
Sierra Leone *;Africa (Sub Saharan Africa);West Africa;;11300.00;;93.70;;65.09;;0.24;2.20;3.00;4.90;53.00;29.00;;0.00;15.00;0.00;-1.58;;1038580.12;4250503.63;3.00;0.40;4.56;2.29;;
Singapore;East Asia and Pacific;South Asia;;3425.00;97.53;100.00;6.60;65.59;139421.00;;1.20;4.00;9.60;67.00;85.00;;1.00;10658.50;0.00;10.90;2.19;19781066256.26;3778935322.21;-13983.00;49.30;3.26;1.93;;
Slovakia *;Europe and Central Asia;Central Europe;181000000.00;54869.00;57.64;100.00;6.20;51.59;;0.79;0.10;1.00;31.10;24.00;51.00;;1.00;4729.90;0.00;36.09;0.89;672083892.61;28762198.45;-496.00;10.30;2.57;2.47;;
Slovenia *;Europe and Central Asia;Central Europe;118000000.00;38985.00;43.99;35.30;5.90;52.09;;0.83;0.10;1.00;20.80;23.00;60.00;;1.00;3514.20;0.00;;2.39;241772137.30;71232231.71;-163.00;6.40;3.11;3.00;;
Solomon Islands;East Asia and Pacific;Pacific;;1390.00;;35.31;;63.70;;0.39;2.00;3.00;9.50;27.00;50.00;;1.00;4.30;0.00;;;5205318.60;1521895.41;-4.00;2.80;1.51;-0.53;;
Somalia;Africa (Sub Saharan Africa);East Africa;;22100.00;;71.75;;;;;2.50;7.00;10.60;79.00;8.00;;4.00;6.30;0.00;14.59;;;;;;;;;
South Africa *;Africa (Sub Saharan Africa);Southern Africa;;747014.00;-17.31;60.46;4.10;39.40;43395.00;0.43;1.60;2.00;52.60;36.00;44.00;;1.00;9679.10;0.00;18.06;0.73;1731992058.71;116468991.15;-1605.00;5.90;1.63;0.00;;
South Sudan;Africa (Sub Saharan Africa);East Africa;;7000.00;;100.00;;;13292.00;;3.50;6.50;12.00;66.00;15.00;1.00;4.00;;;4.40;;258600.00;;;;3.37;-0.60;;
Spain *;Europe and Central Asia;Southern Europe;;683175.00;69.96;100.00;6.00;44.40;86623.00;0.78;-0.10;1.00;57.90;28.00;58.00;;1.00;53342.10;0.00;10.39;1.23;4473459917.25;1436482331.59;-2906.00;7.10;1.36;1.66;;
Sri Lanka;South Asia ;South Asia;;114093.00;45.87;42.00;3.70;52.40;28722.00;0.67;0.90;5.00;19.10;64.00;37.00;;0.00;713.10;0.00;4.47;0.10;;;;0.80;4.88;3.91;;
Sudan;Middle East and North Africa;North Africa;;11900.00;-8.45;31.46;;;;;2.20;7.00;23.30;85.00;12.00;1.00;6.00;375.10;0.00;-7.99;0.30;;5745137.72;0.00;;2.68;0.50;;
Suriname *;Latin America and Caribbean;South America;;4304.00;;100.00;2.70;;;0.54;0.90;2.00;17.90;28.00;36.00;;0.00;15.20;0.00;2.65;;13859448.62;24431.70;-20.00;20.70;1.84;0.94;;
Swaziland;Africa (Sub Saharan Africa);Southern Africa;;3594.00;;100.00;;;;0.35;1.40;6.00;42.60;82.00;43.00;;2.00;37.90;0.00;3.99;;65401034.59;10440184.07;-14.00;;2.75;1.25;;
Sweden *;Europe and Central Asia;Scandinavia;1017310546.00;579564.00;29.27;100.00;6.50;;95467.00;0.85;1.10;1.00;22.80;11.00;89.00;;1.00;19361.80;0.00;;3.16;3845419140.99;9142241346.73;4655.00;14.30;2.60;1.59;;
Switzerland *;Europe and Central Asia;Central Europe;;71464.00;47.02;96.38;6.80;65.00;97165.00;;1.20;1.00;8.70;13.00;86.00;;0.00;21060.40;0.00;2.47;2.97;14142728874.17;18220531068.10;3246.00;26.80;2.00;0.76;;
Syrian Arab Republic;Middle East and North Africa;Middle East;;69873.00;41.67;95.88;;;;0.47;-1.40;7.00;30.10;90.00;18.00;;5.00;310.50;0.00;3.52;;;;;;;;;
Tajikistan;Europe and Central Asia;Eastern Europe;;27767.00;29.79;41.56;1.80;60.70;;0.52;2.20;6.00;15.50;83.00;26.00;;2.00;70.80;0.00;3.16;0.12;;;;;6.70;4.33;;
Tanzania *;Africa (Sub Saharan Africa);East Africa;;86472.00;10.70;95.86;2.10;86.30;6184.00;0.38;3.10;3.00;5.50;55.00;30.00;1.00;2.00;378.90;0.00;6.87;0.53;1098666.33;40000.00;-2.00;0.80;6.97;3.65;;
Thailand *;East Asia and Pacific;South Asia;;180053.00;41.76;77.96;5.50;71.50;28211.00;0.58;0.30;5.50;3.90;77.00;38.00;;0.00;8630.80;0.00;4.97;0.48;3970840000.00;56700000.00;-4036.00;21.40;0.82;0.41;;
Timor-Leste;East Asia and Pacific;South Asia;;6040.00;;35.31;1.90;36.00;;;2.70;3.00;14.00;77.00;28.00;;1.00;;;;;75880.69;;;9.80;5.86;3.06;;
Togo;Africa (Sub Saharan Africa);West Africa;;11652.00;19.87;99.83;;75.40;;0.32;2.60;4.00;10.70;60.00;32.00;;1.00;69.10;0.00;8.94;0.27;384292.58;;;0.40;5.87;3.10;;
Tonga *;East Asia and Pacific;Pacific;;680.00;;100.00;;;;;0.60;2.00;11.90;29.00;29.00;;0.00;1.30;0.00;10.87;;;;;2.40;2.06;1.63;;
Trinidad and Tobago *;Latin America and Caribbean;Caribbean;;9592.00;-103.55;100.00;4.50;61.50;;0.65;0.40;2.00;10.60;27.00;39.00;;0.00;159.90;0.00;7.55;0.08;;;;;-0.58;-1.03;;
Tunisia *;Middle East and North Africa;North Africa;;19418.00;29.92;44.56;5.50;41.29;37045.00;0.56;1.00;2.00;31.80;52.00;38.00;1.00;2.00;4206.80;0.00;14.85;0.64;19438349.51;28038346.56;1.00;6.30;2.87;1.84;;
Turkey *;Middle East and North Africa;Middle East;582143472.00;385754.00;74.41;15.30;4.10;44.79;;0.64;1.50;3.50;17.70;71.00;42.00;1.00;1.00;30402.30;0.00;;1.01;677000000.00;;;2.20;3.02;1.29;;
Turkmenistan;Europe and Central Asia;Eastern Europe;;58592.00;-191.44;18.16;;55.29;;;1.20;7.00;20.20;96.00;18.00;;4.00;6.90;0.00;;;;;;;10.30;8.91;;
Tuvalu *;East Asia and Pacific;Pacific;;8.00;;98.70;;;;;0.20;1.00;6.50;27.00;8.00;;0.00;0.30;0.00;2.83;;;;;;2.24;2.06;;
Uganda;Africa (Sub Saharan Africa);East Africa;;20000.00;;99.50;1.50;74.50;5223.00;0.34;3.30;5.50;6.80;57.00;25.00;1.00;4.00;473.90;0.00;11.26;0.48;12183518.67;12882006.42;-10.00;1.80;5.18;1.82;;
Ukraine *;Europe and Central Asia;Eastern Europe;;169694.00;26.02;100.00;;55.00;;0.69;-0.40;3.00;16.90;53.00;27.00;1.00;1.00;7217.80;0.00;10.42;0.66;552000000.00;118000000.00;-273.00;7.30;-6.55;-1.14;;
United Arab Emirates;Middle East and North Africa;Middle East;;4080.00;-190.06;100.00;6.60;77.59;;;0.80;6.00;10.00;78.00;70.00;;2.00;1679.10;0.00;13.05;0.70;;;;8.50;3.08;2.56;;
United Kingdom *;Europe and Central Asia;Western Europe;3229127900.00;394428.00;39.60;75.91;6.70;58.20;84715.00;0.83;0.80;1.00;16.70;25.00;81.00;;0.00;97332.20;0.00;17.82;1.70;10420007243.10;19826351493.41;5114.00;20.80;3.07;2.30;;
United States *;The Americas;North America;;6586610.00;10.29;100.00;6.30;58.50;117787.00;0.76;0.80;1.00;14.00;21.00;76.00;1.00;1.00;412541.50;0.00;3.22;2.73;42208000000.00;129890000000.00;85170.00;19.00;2.37;1.57;;
Uruguay *;Latin America and Caribbean;South America;;77732.00;52.56;90.88;5.40;61.20;;0.68;0.40;1.00;19.10;25.00;74.00;;0.00;590.60;0.00;-8.43;0.33;48483574.22;278000.00;-42.00;13.80;3.24;2.89;;
Uzbekistan;Europe and Central Asia;Eastern Europe;;86496.00;-26.08;99.00;;55.29;;0.57;1.70;7.00;20.30;95.00;19.00;;4.00;346.60;0.00;1.03;0.20;;;;;8.10;6.29;;
Vanuatu *;East Asia and Pacific;Pacific;;1070.00;;27.08;;;;0.49;2.20;2.00;10.60;25.00;50.00;;1.00;7.10;0.00;20.95;;206067.22;227034.24;0.00;;2.33;0.07;;
Venezuela  RB;Latin America and Caribbean;South America;;96189.00;-179.43;97.70;4.20;59.50;;0.61;1.30;5.00;17.10;80.00;17.00;;2.00;1196.10;0.00;9.66;;400000000.00;;;1.10;-3.89;-5.20;;
Vietnam;East Asia and Pacific;South Asia;;195468.00;-15.60;84.58;3.50;75.90;9760.00;0.55;1.10;6.00;6.30;85.00;31.00;;2.00;1848.40;0.00;43.59;0.19;;;;26.90;5.98;4.85;;
Yemen  Rep.;Middle East and North Africa;Middle East;;71300.00;-120.59;16.40;;40.50;16394.00;0.33;2.40;6.00;29.90;83.00;18.00;;5.00;127.10;;29.08;;4800000.00;;;4.70;-0.19;-2.67;;
Zambia *;Africa (Sub Saharan Africa);East Africa;;40454.00;8.77;22.06;5.50;68.69;13505.00;0.38;3.10;3.50;25.10;61.00;38.00;;3.00;117.30;0.00;;0.28;1885050.00;;;5.30;4.70;1.53;;
Zimbabwe;Africa (Sub Saharan Africa);East Africa;;97267.00;12.30;40.46;2.20;82.00;4771.00;0.37;2.30;5.50;9.40;74.00;21.00;;4.00;210.20;0.00;;;18668169.98;2168167.57;-18.00;2.90;3.85;1.48;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
